company_name,contract_number,location_name,pickup_dt,dropoff_dt,car_type,total_price
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Compact,125.86
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Standard,128.09
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Full Size,128.09
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Economy,128.66
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Midsize,129.77
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Standard Pickup,134.05
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Compact SUV,134.47
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Premium,135.97
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Sporty Car,135.97
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Midsize SUV,137.07
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Pickup,141.09
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,7 Passenger Minivan,141.21
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Convertible,174.16
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Full Size SUV,184.02
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Premium SUV,193.18
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,8 Passenger Minivan,193.18
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Luxury SUV,193.18
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Luxury,193.81
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Premium Special,193.81
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Full Size Elite,203.01
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Premium Elite SUV,203.01
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Standard SUV,205.62
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Standard Elite SUV,221.44
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Premium Crossover,226.15
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Luxury Elite SUV,229.90
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Jeep Wrangler 4 door,236.39
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,15 Passenger Van,261.07
AAA,6100253,TPA,2022-11-01T12:00,2022-11-02T12:00,Premium Elite,319.98
Accenture,XZ15J55,TPA,2022-11-01T12:00,2022-11-02T12:00,Economy,52.15
Accenture,XZ15J55,TPA,2022-11-01T12:00,2022-11-02T12:00,Compact,52.15
Accenture,XZ15J55,TPA,2022-11-01T12:00,2022-11-02T12:00,Midsize,53.33
Accenture,XZ15J55,TPA,2022-11-01T12:00,2022-11-02T12:00,Standard,53.33
Accenture,XZ15J55,TPA,2022-11-01T12:00,2022-11-02T12:00,Full Size,55.70
Accenture,XZ15J55,TPA,2022-11-01T12:00,2022-11-02T12:00,Premium,72.25
